PlayerName,Full Year,Player Link,Adjusted BPM,"Estimated OBPM
(Calculated BPM - Regressed DBPM)","Estimated DBPM
(@OdeToOden
Regression)",active,NBA_Experience,RealGM Summary Page,Highest Level Reached,Season,School,League,Conference,TeamID,Year,Year at School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,GP_t,GS_t,MIN_t,FGM_t,FGA_t,FG%_t,3PM_t,3PA_t,3P%_t,FTM_t,FTA_t,FT%_t,OFF_t,DEF_t,TRB_t,AST_t,STL_t,BLK_t,PF_t,TOV_t,PTS_t,GP.2,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W,Ls,Win %,OWS,DWS,WS,GP.3,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,Wingspan,Pos,"Hght
(inches)",Wght,RSCI Rank,RealGM Link,"NCAA Seasons
(D-I)",Hgt,Birthday (date format)
A.J. Hammons,2012-13,/player/AJ-Hammons/Summary/24294,5.4197261174833375,0.6699753843864347,4.749750733096903,True,0.0,/player/AJ-Hammons/Summary/24294,NBA,2012-13,Purdue,ncaa,Big Ten Conference,105.0,2013.0,Fr,34,27,23.1,4.12,8.32,0.495,0,0,0,2.32,3.41,0.681,2.41,3.59,6,0.62,0.32,1.97,2.03,1.62,10.56,34,27,786,140,283,0.495,0,0,0,79,116,0.681,82,122,204,21,11,67,69,55,359,34,3,0,0,0,0,0,0.192,0.38,0.2,0.41,16,18,0.471,1.71,1.39,3.11,34,0.531,0.495,11.55,17.2,14.38,6.16,13.99,0.85,8.68,25.3,117.57,-5.27,1.27,106.1,95,21.71,86.28178234119555,C,84,250.0,74.0,/player/AJ-Hammons/Summary/24294,4,7-0,08/27/1992
A.J. Hammons,2013-14,/player/AJ-Hammons/Summary/24294,3.9517438900190056,-2.7091314805302344,6.66087537054924,True,0.0,/player/AJ-Hammons/Summary/24294,NBA,2013-14,Purdue,ncaa,Big Ten Conference,105.0,2014.0,So,31,25,25,3.77,7.39,0.511,0,0.16,0,3.26,4.65,0.701,2.39,5.03,7.42,0.48,0.42,3.1,2.94,2.52,10.81,31,25,775,117,229,0.511,0,5,0,101,144,0.701,74,156,230,15,13,96,91,78,335,31,6,0,0,0,0,0,0.166,0.19,0.17,0.63,14,17,0.452,0.89,1.63,2.52,31,0.563,0.511,10.16,22.89,16.31,4.07,20.78,0.99,13.32,23.76,121.23,-8.64,1.46,101.7,95.3,20.1,86.28178234119555,C,84,250.0,74.0,/player/AJ-Hammons/Summary/24294,4,7-0,08/27/1992
A.J. Hammons,2014-15,/player/AJ-Hammons/Summary/24294,7.05141512766536,0.02229453561999506,7.0291205920453645,True,0.0,/player/AJ-Hammons/Summary/24294,NBA,2014-15,Purdue,ncaa,Big Ten Conference,105.0,2015.0,Jr,34,23,24.3,4.62,8.56,0.54,0,0.21,0,2.68,4,0.669,2.41,4.24,6.65,0.91,0.5,2.82,2.56,2.15,11.91,34,23,827,157,291,0.54,0,7,0,91,136,0.669,82,144,226,31,17,96,87,73,405,34,6,0,0,0,0,1,0.227,0.42,0.23,0.47,21,13,0.618,1.89,1.84,3.72,34,0.569,0.54,12.18,19.73,16.11,9.11,17.03,1.27,12.3,26.9,120.86,-6.37,1.39,107.3,91.8,24.23,86.28178234119555,C,84,250.0,74.0,/player/AJ-Hammons/Summary/24294,4,7-0,08/27/1992
A.J. Hammons,2015-16,/player/AJ-Hammons/Summary/24294,9.812930597977726,3.1352064873605503,6.677724110617175,True,0.0,/player/AJ-Hammons/Summary/24294,NBA,2015-16,Purdue,ncaa,Big Ten Conference,105.0,2016.0,Sr,33,20,24.6,6.03,10.18,0.592,0.18,0.33,0.545,2.73,3.85,0.709,2.33,5.85,8.18,1.12,0.27,2.55,2.36,1.97,14.97,33,20,813,199,336,0.592,6,11,0.545,90,127,0.709,77,193,270,37,9,84,78,65,494,33,10,0,0,0,0,0,0.262,0.57,0.14,0.38,24,9,0.727,2.83,2.18,5.01,33,0.623,0.601,11.56,24.86,18.71,10.6,14.09,0.66,10.4,28.64,184.64,-5.1,1.47,117.9,88.4,29.21,86.28178234119555,C,84,250.0,74.0,/player/AJ-Hammons/Summary/24294,4,7-0,08/27/1992
A.J. Price,2006-07,/player/AJ-Price/Summary/1656,3.257057009914093,1.6580684630958418,1.5989885468182514,True,0.0,/player/AJ-Price/Summary/1656,NBA,2006-07,Connecticut,ncaa,Big East Conference,64.0,2007.0,So,31,23,24,3.19,8.26,0.387,0.77,2.84,0.273,2.23,3.23,0.69,1.1,1.9,3,3.65,1.19,0.06,1.26,2.03,9.39,31,23,743,99,256,0.387,24,88,0.273,69,100,0.69,34,59,93,113,37,2,39,63,291,31,0,0,0,0,0,0,0.279,1.79,0.59,0.39,17,14,0.548,1.23,1.6,2.83,31,0.479,0.434,4.75,8.12,6.45,31.87,17.19,2.89,0.26,23.23,134.94,1.61,1.14,104.2,94,16.65,76.7134627198367,G,74,195.0,24.0,/player/AJ-Price/Summary/1656,5,6-2,10/07/1986
A.J. Price,2007-08,/player/AJ-Price/Summary/1656,5.754639856587103,5.101419046285772,0.6532208103013311,True,0.0,/player/AJ-Price/Summary/1656,NBA,2007-08,Connecticut,ncaa,Big East Conference,64.0,2008.0,Jr,33,33,32.1,4.85,11.09,0.437,1.58,4.27,0.369,3.21,4.3,0.746,0.76,2.76,3.52,5.82,1.3,0.09,1.61,2.36,14.48,33,33,1060,160,366,0.437,52,141,0.369,106,142,0.746,25,91,116,192,43,3,53,78,478,33,0,0,0,0,0,0,0.406,2.46,0.55,0.39,24,9,0.727,3.5,1.49,4.99,33,0.551,0.508,2.7,8.2,5.7,36.1,15.25,2.31,0.25,23.28,155.24,4.54,1.31,118.2,101.1,20.43,76.7134627198367,G,74,195.0,24.0,/player/AJ-Price/Summary/1656,5,6-2,10/07/1986
A.J. Price,2008-09,/player/AJ-Price/Summary/1656,5.476425863812264,4.532678053999505,0.9437478098127592,True,0.0,/player/AJ-Price/Summary/1656,NBA,2008-09,Connecticut,ncaa,Big East Conference,64.0,2009.0,Sr,35,35,31.8,4.86,11.91,0.408,2.34,5.83,0.402,2.66,3.69,0.721,0.57,2.91,3.49,4.69,0.69,0,1.26,2.69,14.71,35,35,1112,170,417,0.408,82,204,0.402,93,129,0.721,20,102,122,164,24,0,44,94,515,35,3,0,0,0,0,0,0.346,1.74,0.26,0.31,30,5,0.857,2.89,1.85,4.74,35,0.538,0.506,2.08,8.97,5.81,28.35,16.43,1.26,0,25.17,153.06,1.35,1.24,110.7,98.2,17.78,76.7134627198367,G,74,195.0,24.0,/player/AJ-Price/Summary/1656,5,6-2,10/07/1986
Aaron Brooks,2003-04,/player/Aaron-Brooks/Summary/53,-0.3880648817974115,-0.6895711892438707,0.30150630744645923,True,10.0,/player/Aaron-Brooks/Summary/53,NBA,2003-04,Oregon,ncaa,Pacific 10 Conference,238.0,2004.0,Fr,21,18,25.8,2.19,5.9,0.371,1.33,3.62,0.368,1.24,1.57,0.788,0.52,1.86,2.38,2.67,0.81,0.05,2.33,2.33,6.95,21,18,541,46,124,0.371,28,76,0.368,26,33,0.788,11,39,50,56,17,1,49,49,146,21,0,0,0,0,0,0,0.191,1.14,0.35,0.27,12,9,0.571,0.17,0.61,0.78,21,0.523,0.484,2.43,8.63,5.53,19.06,25.97,1.8,0.19,17.41,152.73,-2.04,1.18,95.2,106.1,8.51,74.11964232306255,G,72,161.0,32.0,/player/Aaron-Brooks/Summary/53,4,6-0,01/14/1985
Aaron Brooks,2004-05,/player/Aaron-Brooks/Summary/53,3.374710470038743,5.360589341599912,-1.9858788715611695,True,10.0,/player/Aaron-Brooks/Summary/53,NBA,2004-05,Oregon,ncaa,Pacific 10 Conference,238.0,2005.0,So,27,26,33,4.67,10.89,0.429,1.93,5.19,0.371,3.48,4.07,0.855,0.7,2.56,3.26,4.63,1,0.15,2.15,3.22,14.74,27,26,892,126,294,0.429,52,140,0.371,94,110,0.855,19,69,88,125,27,4,58,87,398,27,0,0,0,0,0,0,0.37,1.44,0.31,0.37,14,13,0.519,2.1,0.09,2.19,27,0.575,0.517,1.61,5.61,3.65,29.15,20.08,2.08,0.47,24.57,165.45,-0.46,1.35,110.6,117.9,19.83,74.11964232306255,G,72,161.0,32.0,/player/Aaron-Brooks/Summary/53,4,6-0,01/14/1985
Aaron Brooks,2005-06,/player/Aaron-Brooks/Summary/53,3.6403299978731765,2.6213627789068132,1.0189672189663632,True,10.0,/player/Aaron-Brooks/Summary/53,NBA,2005-06,Oregon,ncaa,Pacific 10 Conference,238.0,2006.0,Jr,32,31,32.4,3.59,8.81,0.408,1.41,4.19,0.336,2.22,2.75,0.807,0.78,2.66,3.44,4.38,1.09,0.16,2.19,2.44,10.81,32,31,1036,115,282,0.408,45,134,0.336,71,88,0.807,25,85,110,140,35,5,70,78,346,32,1,0,0,0,0,0,0.318,1.79,0.45,0.31,15,17,0.469,1.96,1.22,3.19,32,0.534,0.488,2.93,10.26,6.54,26.15,19.41,2.01,0.5,20.35,155.04,1.5,1.23,108.4,103.5,14.83,74.11964232306255,G,72,161.0,32.0,/player/Aaron-Brooks/Summary/53,4,6-0,01/14/1985
